Brand,Competitive,Related
Rolex,"['The Hour Glass', 'Swarovski', 'CASIO', 'City Chain', 'Swatch', 'Pandora']","['Swarovski', 'Omega', ""Levi's"", 'Super Dry', 'Cartier', 'Bulgari', 'Adidas', 'Louis Vuitton', 'Gucci', 'Esprit', 'Burberry', 'Hermès', 'Lacoste', 'Dolce & Gabbana', 'Chanel', 'Prada', 'Hugo Boss', 'Skechers']"
Swarovski,"['The Hour Glass', 'CASIO', 'City Chain', 'Pandora', 'Swatch', 'Rolex']","['Omega', 'Cartier']"
Bee Cheng Hiang,[],[]
Saizeriya,"['Canadian Pizza', 'Old Chang Kee', 'MOS Burger', 'LiHO Tea', 'Subway', 'Crystal Jade', 'Genki Sushi', 'Pizza Hut', 'Burger King', ""Domino's"", 'Ichiban Boshi', 'KOI Express', ""McDonald's"", 'Din Tai Fung', 'Tim Ho Wan', 'Gong Cha', 'Monster Curry', 'Cedele', 'KOI Thé', 'LiHO', 'Sushi Express']",[]
Anytime Fitness,['Fitness Corner'],[]
Challenger,"['Courts', 'Best Denki', 'OPPO Store', 'Harvey Norman']",[]
Daiso,"['Valu$', 'Minimart']","['Orchard Gateway @ Emerald', 'CapitaLand Ltd', 'Sony', 'Frasers CenterPoint Malls']"
Pit 04B,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Pit 6', 'Paradise Dynasty', 'Souperstar', 'Canteen', 'Pastamania', 'Pit 07C', 'Kopitiam', 'Pit 20C', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Bak kut teh', 'Mr Bean', 'The Soup Spoon', 'Foodfare', 'Pit 03B', ""Swensen's"", 'KFC', 'Food Republic', 'Tiong Bahru Bakery', 'Pit 05B']",[]
Long John Silver's,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Pit 6', 'Paradise Dynasty', 'Souperstar', 'Canteen', 'Pastamania', 'Pit 07C', 'Kopitiam', 'Pit 20C', 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'Mr Bean', 'The Soup Spoon', 'Foodfare', 'Pit 03B', ""Swensen's"", 'KFC', 'Food Republic', 'Tiong Bahru Bakery', 'Pit 05B']","[""Carl's Jr."", 'A&W', 'Shake Shack', 'Popeyes']"
HSBC,"['Maybank', 'Standard Chartered', 'DBS', 'OCBC']","['ANZ', 'State Bank of India', 'Standard Chartered', 'Shell Select', 'BNP Paribas', 'BOC', 'Bank of China']"
Coffee Shop,"['Starbucks', 'The Coffee Bean & Tea Leaf', 'Fun Toast', 'Heavenly Wang', 'Toast Box', 'Killiney', 'Ya Kun Kaya Toast', 'Ya Kun Family Cafe']",[]
Japan Home,[],[]
Pit 20C,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Pit 6', 'Paradise Dynasty', 'Souperstar', 'Canteen', 'Pastamania', 'Pit 07C', 'Kopitiam', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'Mr Bean', 'The Soup Spoon', 'Foodfare', 'Pit 03B', ""Swensen's"", 'KFC', 'Food Republic', 'Tiong Bahru Bakery', 'Pit 05B']",[]
Sushi Express,"['Saizeriya', 'Canadian Pizza', 'Old Chang Kee', 'MOS Burger', 'LiHO Tea', 'Subway', 'Crystal Jade', 'Genki Sushi', 'Pizza Hut', 'Burger King', ""Domino's"", 'Ichiban Boshi', 'KOI Express', ""McDonald's"", 'Din Tai Fung', 'Tim Ho Wan', 'Gong Cha', 'Monster Curry', 'Cedele', 'KOI Thé', 'LiHO']",[]
Swatch,"['The Hour Glass', 'Swarovski', 'CASIO', 'City Chain', 'Pandora', 'Rolex']",[]
Standard Chartered,"['Maybank', 'HSBC', 'DBS', 'OCBC']","['ANZ', 'State Bank of India', 'BOC', 'HSBC', 'Bank of China']"
GNC,[],[]
Tiong Bahru Bakery,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Pit 6', 'Paradise Dynasty', 'Souperstar', 'Canteen', 'Pastamania', 'Pit 07C', 'Kopitiam', 'Pit 20C', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'Mr Bean', 'The Soup Spoon', 'Foodfare', 'Pit 03B', ""Swensen's"", 'KFC', 'Food Republic', 'Pit 05B']",[]
Fun Toast,"['Starbucks', 'The Coffee Bean & Tea Leaf', 'Ya Kun Kaya Toast', 'Heavenly Wang', 'Toast Box', 'Killiney', 'Coffee Shop', 'Ya Kun Family Cafe']",[]
Crystal Jade,"['Saizeriya', 'Canadian Pizza', 'Old Chang Kee', 'MOS Burger', 'LiHO Tea', 'Subway', 'Genki Sushi', 'Pizza Hut', 'Burger King', ""Domino's"", 'Ichiban Boshi', 'KOI Express', ""McDonald's"", 'Din Tai Fung', 'Tim Ho Wan', 'Gong Cha', 'Monster Curry', 'Cedele', 'KOI Thé', 'LiHO', 'Sushi Express']",[]
Four Leaves,"['Chateraise', 'BreadTalk', 'Bengawan Solo', 'Prima Deli']",[]
Swensen's,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Pit 6', 'Paradise Dynasty', 'Souperstar', 'Canteen', 'Pastamania', 'Pit 07C', 'Kopitiam', 'Pit 20C', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'Mr Bean', 'The Soup Spoon', 'Foodfare', 'Pit 03B', 'KFC', 'Food Republic', 'Tiong Bahru Bakery', 'Pit 05B']","['Baskin-Robbins', 'Häagen-Dazs', ""Ben & Jerry's""]"
Raffles Medical,"['National Healthcare Group', 'SingHealth']",[]
Maybank,"['HSBC', 'DBS', 'OCBC', 'Standard Chartered']","['UOB', 'DBS', 'Oversea-Chinse Banking Corporation Ltd']"
Canteen,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Pit 6', 'Paradise Dynasty', 'Souperstar', 'Pastamania', 'Pit 07C', 'Kopitiam', 'Pit 20C', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'Mr Bean', 'The Soup Spoon', 'Foodfare', 'Pit 03B', ""Swensen's"", 'KFC', 'Food Republic', 'Tiong Bahru Bakery', 'Pit 05B']",[]
Nippon Paint,[],[]
Unity,"['Guardian', 'Watsons']",[]
Mango,"['Uniqlo', 'H&M', 'Cotton On']",[]
Pastamania,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Pit 6', 'Paradise Dynasty', 'Souperstar', 'Canteen', 'Pit 07C', 'Kopitiam', 'Pit 20C', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'Mr Bean', 'The Soup Spoon', 'Foodfare', 'Pit 03B', ""Swensen's"", 'KFC', 'Food Republic', 'Tiong Bahru Bakery', 'Pit 05B']",[]
Prime Supermarket,"['Ang Mo', 'NTUC Fairprice', 'Cold Storage', 'Giant', 'Don Don Donki', 'Prime', 'Hao Mart', 'U Stars Supermarket', 'Sheng Siong']",[]
Station 10,[],[]
LiHO Tea,"['Saizeriya', 'Canadian Pizza', 'Old Chang Kee', 'MOS Burger', 'Subway', 'Crystal Jade', 'Genki Sushi', 'Pizza Hut', 'Burger King', ""Domino's"", 'Ichiban Boshi', 'KOI Express', ""McDonald's"", 'Din Tai Fung', 'Tim Ho Wan', 'Gong Cha', 'Monster Curry', 'Cedele', 'KOI Thé', 'LiHO', 'Sushi Express']",[]
PCF Sparkletots Preschool,"['My First Skool', 'Little Footprints Preschool', 'Sparkletots']",[]
Paradise Dynasty,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Pit 6', 'Souperstar', 'Canteen', 'Pastamania', 'Pit 07C', 'Kopitiam', 'Pit 20C', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'Mr Bean', 'The Soup Spoon', 'Foodfare', 'Pit 03B', ""Swensen's"", 'KFC', 'Food Republic', 'Tiong Bahru Bakery', 'Pit 05B']",[]
Pit 6,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Paradise Dynasty', 'Souperstar', 'Canteen', 'Pastamania', 'Pit 07C', 'Kopitiam', 'Pit 20C', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'Mr Bean', 'The Soup Spoon', 'Foodfare', 'Pit 03B', ""Swensen's"", 'KFC', 'Food Republic', 'Tiong Bahru Bakery', 'Pit 05B']",[]
AXS,[],[]
Ichiban Boshi,"['Saizeriya', 'Canadian Pizza', 'Old Chang Kee', 'MOS Burger', 'LiHO Tea', 'Subway', 'Crystal Jade', 'Genki Sushi', 'Pizza Hut', 'Burger King', ""Domino's"", 'KOI Express', ""McDonald's"", 'Din Tai Fung', 'Tim Ho Wan', 'Gong Cha', 'Monster Curry', 'Cedele', 'KOI Thé', 'LiHO', 'Sushi Express']",[]
Courts,"['Best Denki', 'Challenger', 'OPPO Store', 'Harvey Norman']",[]
Prime,"['Ang Mo', 'NTUC Fairprice', 'Cold Storage', 'Giant', 'Don Don Donki', 'Prime Supermarket', 'Hao Mart', 'U Stars Supermarket', 'Sheng Siong']",[]
CapitaLand Ltd,[],"['Sim Lian Group', 'CapitaLand Ltd', 'Orchard Gateway @ Emerald', 'Fu Lu Shou Complex', 'Frasers CenterPoint Malls', 'Changi Group/CapitaLand Ltd', 'Far East', 'Starhill Global REIT', 'Daiso']"
Foodfare,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Pit 6', 'Paradise Dynasty', 'Souperstar', 'Canteen', 'Pastamania', 'Pit 07C', 'Kopitiam', 'Pit 20C', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'Mr Bean', 'The Soup Spoon', 'Pit 03B', ""Swensen's"", 'KFC', 'Food Republic', 'Tiong Bahru Bakery', 'Pit 05B']",[]
Pit 05B,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Paradise Dynasty', 'Souperstar', 'Canteen', 'Pastamania', 'Pit 07C', 'Kopitiam', 'Pit 20C', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'Mr Bean', 'The Soup Spoon', 'Foodfare', 'Pit 03B', ""Swensen's"", 'KFC', 'Food Republic', 'Tiong Bahru Bakery', 'Pit 6']",[]
Harvey Norman,"['Courts', 'Challenger', 'Best Denki', 'OPPO Store']",[]
The Hour Glass,"['Swarovski', 'CASIO', 'City Chain', 'Pandora', 'Swatch', 'Rolex']",[]
Etude House,"['Sasa', 'Sephora', 'The Body Shop']",[]
The Soup Spoon,"['Qiji', 'Food court', 'Kim San Leng Food Centre', 'Pit 6', 'Paradise Dynasty', 'Souperstar', 'Canteen', 'Pastamania', 'Pit 07C', 'Kopitiam', 'Pit 20C', ""Long John Silver's"", 'Teh Tarik Time', 'Hawker Centre', 'Koufu', ""Han's"", 'Encik Tan', 'Food Junction', 'Pit 04B', 'Bak kut teh', 'Mr Bean', 'Foodfare', 'Pit 03B', ""Swensen's"", 'KFC', 'Food Republic', 'Tiong Bahru Bakery', 'Pit 05B']",[]
Harry's,[],[]
