Region,Nearby,Similar
region-27,"['region-27', 'region-108', 'region-233', 'region-299', 'region-391', 'region-392', 'region-464', 'region-486', 'region-498', 'region-865', 'region-1452', 'region-1480', 'region-1487', 'region-1490', 'region-1607', 'region-1609', 'region-1724', 'region-1963', 'region-1970', 'region-2026', 'region-2043']",[]
region-28,"['region-28', 'region-72', 'region-75', 'region-154', 'region-171', 'region-182', 'region-185', 'region-219', 'region-239', 'region-242', 'region-275', 'region-312', 'region-430', 'region-431', 'region-499', 'region-522', 'region-577', 'region-579', 'region-656', 'region-664', 'region-730', 'region-742', 'region-776', 'region-1430', 'region-1433', 'region-1512', 'region-1562', 'region-1575', 'region-1590', 'region-1687', 'region-1699', 'region-1761', 'region-1777', 'region-1778', 'region-1786', 'region-1792', 'region-1818', 'region-1832', 'region-2035']",[]
region-29,"['region-29', 'region-290', 'region-372', 'region-574', 'region-1790', 'region-1813', 'region-2019', 'region-2033']",[]
region-30,"['region-30', 'region-269', 'region-292', 'region-407', 'region-438', 'region-456', 'region-607', 'region-662', 'region-682', 'region-818', 'region-1757', 'region-1908', 'region-1942', 'region-2008']",[]
region-31,"['region-31', 'region-85', 'region-850', 'region-1051', 'region-1275', 'region-1313', 'region-1479', 'region-1569', 'region-1608', 'region-1963', 'region-1981', 'region-2011', 'region-2026']",[]
region-32,"['region-32', 'region-128', 'region-200', 'region-836', 'region-838', 'region-863', 'region-918', 'region-919', 'region-928', 'region-1044', 'region-1094', 'region-1253', 'region-1657', 'region-1686', 'region-1698', 'region-1729', 'region-1755', 'region-1881', 'region-1890', 'region-1918', 'region-1956']",[]
region-33,"['region-33', 'region-594', 'region-868', 'region-1279', 'region-1339', 'region-1585', 'region-2020', 'region-2033']",[]
region-34,"['region-34', 'region-289', 'region-298', 'region-333', 'region-490', 'region-553', 'region-615', 'region-1785', 'region-1851', 'region-1852', 'region-1864', 'region-1885', 'region-1986']",[]
region-35,"['region-35', 'region-74', 'region-465', 'region-539', 'region-627', 'region-723', 'region-1133', 'region-1787', 'region-1814', 'region-1826', 'region-1829', 'region-1936']",[]
region-36,"['region-36', 'region-70', 'region-84', 'region-122', 'region-315', 'region-334', 'region-447', 'region-461', 'region-489', 'region-529', 'region-542', 'region-563', 'region-582', 'region-646', 'region-663', 'region-679', 'region-749', 'region-810', 'region-813', 'region-940', 'region-953', 'region-1023', 'region-1025', 'region-1028', 'region-1041', 'region-1054', 'region-1084', 'region-1182', 'region-1236', 'region-1262', 'region-1276', 'region-1303', 'region-1358', 'region-1373', 'region-1401', 'region-1495', 'region-1504', 'region-1518', 'region-1546', 'region-1573', 'region-1574', 'region-1582', 'region-1730', 'region-1806', 'region-1878', 'region-1894', 'region-1914', 'region-1923', 'region-1931']",[]
region-37,"['region-37', 'region-38', 'region-895', 'region-908', 'region-956', 'region-1015', 'region-1367', 'region-1885', 'region-1926', 'region-1972', 'region-1986']",[]
region-38,"['region-37', 'region-38', 'region-895', 'region-908', 'region-956', 'region-1015', 'region-1885', 'region-1926', 'region-1972', 'region-1986', 'region-2004', 'region-2022']",[]
region-39,"['region-39', 'region-247', 'region-249', 'region-306', 'region-313', 'region-343', 'region-350', 'region-374', 'region-430', 'region-440', 'region-604', 'region-730', 'region-922', 'region-1187', 'region-1491', 'region-1512', 'region-1549', 'region-1562', 'region-1575', 'region-1590', 'region-1771', 'region-1777', 'region-1786', 'region-1801', 'region-1877', 'region-1908', 'region-2008']",[]
region-40,"['region-40', 'region-88', 'region-107', 'region-113', 'region-197', 'region-342', 'region-621', 'region-815', 'region-1725', 'region-1733', 'region-1771', 'region-1774', 'region-1818', 'region-1832', 'region-1877', 'region-1920']",[]
region-41,"['region-41', 'region-155', 'region-161', 'region-208', 'region-650', 'region-765', 'region-902', 'region-1035', 'region-1819', 'region-1851', 'region-1864', 'region-1966', 'region-2005']",[]
region-42,"['region-42', 'region-116', 'region-192', 'region-276', 'region-684', 'region-719', 'region-734', 'region-739', 'region-740', 'region-788', 'region-830', 'region-843', 'region-870', 'region-910', 'region-949', 'region-979', 'region-1006', 'region-1032', 'region-1045', 'region-1069', 'region-1074', 'region-1078', 'region-1097', 'region-1108', 'region-1131', 'region-1153', 'region-1178', 'region-1289', 'region-1326', 'region-1362', 'region-1371', 'region-1378', 'region-1419', 'region-1436', 'region-1489', 'region-1538', 'region-1565', 'region-1566', 'region-1567', 'region-1578', 'region-1605', 'region-1835', 'region-1932', 'region-1942', 'region-2030']",[]
region-43,"['region-43', 'region-117', 'region-228', 'region-309', 'region-337', 'region-355', 'region-481', 'region-589', 'region-620', 'region-721', 'region-780', 'region-805', 'region-872', 'region-938', 'region-1026', 'region-1105', 'region-1271', 'region-1390', 'region-1398', 'region-1586', 'region-1738', 'region-1855', 'region-1962', 'region-1979', 'region-2020', 'region-2033']",[]
region-44,"['region-44', 'region-110', 'region-165', 'region-311', 'region-373', 'region-523', 'region-629', 'region-659', 'region-855', 'region-920', 'region-943', 'region-948', 'region-955', 'region-959', 'region-980', 'region-1050', 'region-1101', 'region-1722', 'region-1797', 'region-1808', 'region-1859', 'region-1930', 'region-1974', 'region-1978', 'region-1984']",[]
region-45,"['region-45', 'region-112', 'region-278', 'region-369', 'region-405', 'region-410', 'region-660', 'region-674', 'region-697', 'region-812', 'region-886', 'region-945', 'region-1017', 'region-1091', 'region-1648', 'region-1669', 'region-1674', 'region-1676', 'region-1682', 'region-1732', 'region-1739', 'region-1743', 'region-1935', 'region-1944', 'region-2023']",[]
region-46,"['region-46', 'region-77', 'region-285', 'region-288', 'region-569', 'region-1321', 'region-1342', 'region-1344', 'region-1345', 'region-1816', 'region-1870', 'region-1971', 'region-1997', 'region-2020']",[]
region-47,"['region-47', 'region-193', 'region-248', 'region-401', 'region-472', 'region-478', 'region-670', 'region-778', 'region-800', 'region-820', 'region-896', 'region-950', 'region-1056', 'region-1063', 'region-1500', 'region-1659', 'region-1665', 'region-1726', 'region-1815', 'region-1888', 'region-2014']",[]
region-48,"['region-48', 'region-354', 'region-416', 'region-549', 'region-927', 'region-976', 'region-1155', 'region-1185', 'region-1841', 'region-1862', 'region-2027', 'region-2035']",[]
region-49,"['region-49', 'region-104', 'region-160', 'region-244', 'region-839', 'region-1837', 'region-1844', 'region-1895', 'region-1902', 'region-1929']",[]
region-50,"['region-50', 'region-54', 'region-428', 'region-487', 'region-623', 'region-671', 'region-692', 'region-1750', 'region-1764', 'region-1776', 'region-1822', 'region-1826', 'region-1829', 'region-1838', 'region-1845']",[]
region-51,"['region-51', 'region-57', 'region-227', 'region-384', 'region-409', 'region-467', 'region-557', 'region-683', 'region-699', 'region-789', 'region-791', 'region-807', 'region-864', 'region-877', 'region-899', 'region-921', 'region-978', 'region-1002', 'region-1024', 'region-1059', 'region-1186', 'region-1742', 'region-1759', 'region-1799', 'region-1927', 'region-1969', 'region-2021']",[]
region-52,"['region-8', 'region-52', 'region-166', 'region-222', 'region-874', 'region-1883', 'region-1973', 'region-1993']",[]
region-53,"['region-53', 'region-561', 'region-1839', 'region-1878', 'region-1905', 'region-1943']",[]
region-54,"['region-6', 'region-50', 'region-54', 'region-76', 'region-365', 'region-428', 'region-487', 'region-623', 'region-671', 'region-692', 'region-1750', 'region-1764', 'region-1776', 'region-1803', 'region-1822', 'region-1826', 'region-1829', 'region-1838', 'region-1845', 'region-1987']",[]
region-55,"['region-55', 'region-344', 'region-448', 'region-553', 'region-587', 'region-1132', 'region-1169', 'region-1171', 'region-1247', 'region-1851', 'region-1864', 'region-1986', 'region-2043']",[]
region-56,"['region-10', 'region-16', 'region-56', 'region-181', 'region-308', 'region-358', 'region-588', 'region-752', 'region-1754', 'region-1781', 'region-1877', 'region-2008']",[]
region-57,"['region-51', 'region-57', 'region-148', 'region-227', 'region-384', 'region-409', 'region-467', 'region-557', 'region-683', 'region-699', 'region-789', 'region-791', 'region-807', 'region-864', 'region-877', 'region-899', 'region-921', 'region-978', 'region-1002', 'region-1024', 'region-1059', 'region-1186', 'region-1742', 'region-1759', 'region-1799', 'region-1927', 'region-1969', 'region-2021']",[]
region-58,"['region-58', 'region-281', 'region-603', 'region-1348', 'region-1366', 'region-1513', 'region-1519', 'region-1948', 'region-2010', 'region-2011', 'region-2042']",[]
region-59,"['region-5', 'region-59', 'region-62', 'region-89', 'region-131', 'region-149', 'region-187', 'region-210', 'region-223', 'region-241', 'region-361', 'region-436', 'region-504', 'region-511', 'region-575', 'region-1731', 'region-1741', 'region-1778', 'region-1792', 'region-1832', 'region-2035']",[]
region-60,"['region-60', 'region-63', 'region-566', 'region-669', 'region-771', 'region-803', 'region-907', 'region-962', 'region-999', 'region-1369', 'region-1424', 'region-1602', 'region-1703', 'region-1718', 'region-1736', 'region-1745', 'region-1746', 'region-1762', 'region-1800', 'region-1843', 'region-1846', 'region-1906', 'region-1910']",[]
region-61,"['region-7', 'region-61', 'region-383', 'region-572', 'region-695', 'region-1145', 'region-1170', 'region-1223', 'region-1240', 'region-1892', 'region-1949', 'region-1963', 'region-1981', 'region-2028']",[]
region-62,"['region-59', 'region-62', 'region-89', 'region-187', 'region-223', 'region-241', 'region-361', 'region-575', 'region-1731', 'region-1741', 'region-1778', 'region-1792', 'region-2035']",[]
region-63,"['region-60', 'region-63', 'region-566', 'region-669', 'region-771', 'region-803', 'region-907', 'region-962', 'region-999', 'region-1369', 'region-1424', 'region-1602', 'region-1703', 'region-1718', 'region-1736', 'region-1745', 'region-1746', 'region-1762', 'region-1800', 'region-1843', 'region-1846', 'region-1906', 'region-1910']",[]
region-64,"['region-64', 'region-83', 'region-105', 'region-346', 'region-386', 'region-389', 'region-419', 'region-626', 'region-628', 'region-645', 'region-678', 'region-875', 'region-923', 'region-947', 'region-988', 'region-1027', 'region-1252', 'region-1270', 'region-1331', 'region-1353', 'region-1496', 'region-1535', 'region-1574', 'region-1807', 'region-1914', 'region-1931', 'region-1946', 'region-1958']",[]
region-65,"['region-65', 'region-238', 'region-454', 'region-718', 'region-759', 'region-1446', 'region-1654', 'region-1713', 'region-1737', 'region-1835', 'region-2027', 'region-2030']",[]
region-66,"['region-25', 'region-66', 'region-127', 'region-184', 'region-240', 'region-559', 'region-1075', 'region-1694', 'region-1727', 'region-1854', 'region-1936', 'region-2032']",[]
region-67,"['region-67', 'region-412', 'region-567', 'region-737', 'region-1939', 'region-1961', 'region-1977', 'region-2025']",[]
region-68,"['region-68', 'region-78', 'region-86', 'region-135', 'region-195', 'region-265', 'region-274', 'region-565', 'region-676', 'region-1148', 'region-1217', 'region-1218', 'region-1633', 'region-1656', 'region-1666', 'region-1878', 'region-1931', 'region-1943']",[]
region-69,"['region-69', 'region-124', 'region-255', 'region-316', 'region-324', 'region-469', 'region-1804', 'region-1812', 'region-1896', 'region-1975', 'region-2028']",[]
region-70,"['region-36', 'region-70', 'region-86', 'region-122', 'region-195', 'region-315', 'region-334', 'region-433', 'region-447', 'region-461', 'region-489', 'region-563', 'region-582', 'region-646', 'region-679', 'region-749', 'region-810', 'region-940', 'region-1054', 'region-1303', 'region-1358', 'region-1373', 'region-1518', 'region-1582', 'region-1656', 'region-1878', 'region-1894', 'region-1905', 'region-1931']",[]
region-71,"['region-71', 'region-585', 'region-801', 'region-2022', 'region-2032']",[]
region-72,"['region-28', 'region-72', 'region-75', 'region-154', 'region-171', 'region-182', 'region-185', 'region-219', 'region-239', 'region-242', 'region-275', 'region-312', 'region-431', 'region-499', 'region-522', 'region-577', 'region-579', 'region-656', 'region-664', 'region-742', 'region-776', 'region-1430', 'region-1433', 'region-1512', 'region-1562', 'region-1575', 'region-1590', 'region-1687', 'region-1699', 'region-1761', 'region-1777', 'region-1778', 'region-1786', 'region-1792', 'region-1818', 'region-1832', 'region-2035']",[]
region-73,"['region-73', 'region-156', 'region-183', 'region-379', 'region-476', 'region-753', 'region-982', 'region-1118', 'region-1151', 'region-1168', 'region-1213', 'region-1226', 'region-1231', 'region-1407', 'region-1658', 'region-1664', 'region-1917', 'region-2013', 'region-2036']",[]
region-74,"['region-35', 'region-74', 'region-465', 'region-539', 'region-610', 'region-627', 'region-723', 'region-1133', 'region-1787', 'region-1814', 'region-1826', 'region-1829', 'region-1936']",[]
region-75,"['region-21', 'region-28', 'region-72', 'region-75', 'region-171', 'region-185', 'region-313', 'region-341', 'region-343', 'region-357', 'region-430', 'region-590', 'region-730', 'region-766', 'region-922', 'region-1187', 'region-1491', 'region-1512', 'region-1549', 'region-1562', 'region-1575', 'region-1576', 'region-1590', 'region-1744', 'region-1761', 'region-1777', 'region-1786', 'region-1801', 'region-1908', 'region-2035']",[]
region-76,"['region-6', 'region-54', 'region-76', 'region-365', 'region-393', 'region-1776', 'region-1803', 'region-1822', 'region-1845', 'region-1987']",[]
region-77,"['region-46', 'region-77', 'region-285', 'region-288', 'region-569', 'region-1321', 'region-1342', 'region-1344', 'region-1345', 'region-1816', 'region-1870', 'region-1971', 'region-1997', 'region-2020']",[]
region-78,"['region-68', 'region-78', 'region-86', 'region-135', 'region-195', 'region-265', 'region-274', 'region-565', 'region-1148', 'region-1218', 'region-1633', 'region-1656', 'region-1666', 'region-1878', 'region-1931', 'region-1943']",[]
region-79,"['region-79', 'region-87', 'region-643', 'region-1811', 'region-1955', 'region-1987']",[]
region-80,"['region-80', 'region-417', 'region-463', 'region-470', 'region-743', 'region-1660', 'region-1772', 'region-1988', 'region-2004', 'region-2022', 'region-2032']",[]
region-81,"['region-81', 'region-423', 'region-1827', 'region-1876', 'region-2025']",[]
region-82,"['region-22', 'region-82', 'region-254', 'region-426', 'region-532', 'region-781', 'region-848', 'region-962', 'region-1681', 'region-1703', 'region-1745', 'region-1746', 'region-1770', 'region-1794', 'region-1846', 'region-1906', 'region-2014']",[]
region-83,"['region-64', 'region-83', 'region-105', 'region-346', 'region-386', 'region-389', 'region-419', 'region-626', 'region-628', 'region-645', 'region-678', 'region-875', 'region-923', 'region-947', 'region-988', 'region-1027', 'region-1252', 'region-1270', 'region-1331', 'region-1353', 'region-1496', 'region-1535', 'region-1574', 'region-1807', 'region-1914', 'region-1931', 'region-1946', 'region-1958']",[]
region-84,"['region-36', 'region-84', 'region-122', 'region-315', 'region-447', 'region-529', 'region-542', 'region-563', 'region-582', 'region-646', 'region-663', 'region-679', 'region-749', 'region-810', 'region-813', 'region-953', 'region-1023', 'region-1028', 'region-1041', 'region-1054', 'region-1084', 'region-1182', 'region-1236', 'region-1262', 'region-1276', 'region-1303', 'region-1373', 'region-1401', 'region-1495', 'region-1504', 'region-1518', 'region-1546', 'region-1573', 'region-1574', 'region-1806', 'region-1878', 'region-1894', 'region-1914', 'region-1923', 'region-1931']",[]
region-85,"['region-31', 'region-85', 'region-850', 'region-1051', 'region-1275', 'region-1313', 'region-1479', 'region-1569', 'region-1608', 'region-1963', 'region-1981', 'region-2011', 'region-2026']",[]
region-86,"['region-68', 'region-70', 'region-78', 'region-86', 'region-135', 'region-195', 'region-265', 'region-274', 'region-461', 'region-565', 'region-749', 'region-1633', 'region-1656', 'region-1666', 'region-1878', 'region-1931', 'region-1943']",[]
region-87,"['region-79', 'region-87', 'region-484', 'region-643', 'region-1811', 'region-1955', 'region-1987']",[]
region-88,"['region-40', 'region-88', 'region-107', 'region-113', 'region-197', 'region-342', 'region-621', 'region-815', 'region-1725', 'region-1733', 'region-1774', 'region-1818', 'region-1832', 'region-1877', 'region-1920']",[]
region-89,"['region-5', 'region-59', 'region-62', 'region-89', 'region-131', 'region-149', 'region-187', 'region-210', 'region-223', 'region-236', 'region-241', 'region-361', 'region-436', 'region-504', 'region-511', 'region-575', 'region-1731', 'region-1741', 'region-1778', 'region-1792', 'region-1832', 'region-2035']",[]
region-90,"['region-90', 'region-1030', 'region-1043', 'region-1058', 'region-1068', 'region-1179', 'region-1205', 'region-1214', 'region-1237', 'region-1913', 'region-2014', 'region-2036']",[]
region-91,"['region-91', 'region-234', 'region-331', 'region-371', 'region-377', 'region-570', 'region-576', 'region-1662', 'region-1704', 'region-1723', 'region-1758', 'region-1853', 'region-1856', 'region-1925', 'region-1960']",[]
region-92,"['region-2', 'region-13', 'region-15', 'region-25', 'region-92', 'region-127', 'region-1534', 'region-1689', 'region-1838', 'region-1845', 'region-1854', 'region-2032']",[]
region-93,"['region-93', 'region-130', 'region-203', 'region-217', 'region-270', 'region-335', 'region-405', 'region-512', 'region-660', 'region-697', 'region-1674', 'region-1682', 'region-1732', 'region-1739', 'region-1773', 'region-1850', 'region-2023']",[]
region-94,"['region-94', 'region-312', 'region-449', 'region-596', 'region-621', 'region-656', 'region-664', 'region-742', 'region-815', 'region-1430', 'region-1433', 'region-1512', 'region-1562', 'region-1575', 'region-1590', 'region-1733', 'region-1771', 'region-1774', 'region-1777', 'region-1786', 'region-1818', 'region-1832', 'region-1877']",[]
region-95,"['region-95', 'region-133', 'region-199', 'region-231', 'region-550', 'region-584', 'region-935', 'region-944', 'region-1706', 'region-1710', 'region-1887', 'region-1915', 'region-1928', 'region-1968']",[]
region-96,"['region-96', 'region-230', 'region-507', 'region-634', 'region-970', 'region-1734', 'region-1941', 'region-1988', 'region-2004']",[]
region-97,"['region-14', 'region-97', 'region-167', 'region-204', 'region-286', 'region-296', 'region-329', 'region-353', 'region-745', 'region-746', 'region-1719', 'region-1725', 'region-1774', 'region-1781', 'region-1877', 'region-1920', 'region-1952', 'region-1999']",[]
region-98,"['region-98', 'region-1173', 'region-1189', 'region-1194', 'region-1272', 'region-1765', 'region-1767', 'region-1859', 'region-1866', 'region-1989', 'region-2031']",[]
region-99,"['region-99', 'region-402', 'region-518', 'region-560', 'region-808', 'region-1716', 'region-1824', 'region-1848', 'region-1880', 'region-2025']",[]
region-100,"['region-23', 'region-100', 'region-154', 'region-182', 'region-189', 'region-219', 'region-239', 'region-242', 'region-250', 'region-441', 'region-499', 'region-522', 'region-534', 'region-776', 'region-1687', 'region-1699', 'region-1761', 'region-1778', 'region-1792', 'region-2035']",[]
region-101,"['region-101', 'region-338', 'region-362', 'region-452', 'region-520', 'region-521', 'region-526', 'region-624', 'region-667', 'region-668', 'region-698', 'region-1673', 'region-1844', 'region-1863', 'region-1876', 'region-1880', 'region-2025', 'region-2029']",[]
region-102,"['region-102', 'region-414', 'region-1106', 'region-1136', 'region-1165', 'region-1172', 'region-1242', 'region-1258', 'region-1287', 'region-1327', 'region-1365', 'region-1461', 'region-1797', 'region-1859', 'region-1866', 'region-1974', 'region-1989']",[]
region-103,"['region-18', 'region-103', 'region-1494', 'region-1572', 'region-1886', 'region-1901', 'region-1907', 'region-1964', 'region-2002']",[]
region-104,"['region-49', 'region-104', 'region-160', 'region-244', 'region-839', 'region-1837', 'region-1844', 'region-1895', 'region-1902', 'region-1929']",[]
region-105,"['region-64', 'region-83', 'region-105', 'region-346', 'region-386', 'region-389', 'region-419', 'region-626', 'region-628', 'region-645', 'region-678', 'region-875', 'region-923', 'region-947', 'region-988', 'region-1027', 'region-1252', 'region-1270', 'region-1331', 'region-1353', 'region-1496', 'region-1535', 'region-1574', 'region-1807', 'region-1914', 'region-1931', 'region-1946', 'region-1958']",[]
region-106,"['region-106', 'region-347', 'region-541', 'region-882', 'region-1641', 'region-1705', 'region-1873', 'region-1933', 'region-2007', 'region-2012']",[]
region-107,"['region-40', 'region-88', 'region-107', 'region-113', 'region-197', 'region-342', 'region-621', 'region-815', 'region-1725', 'region-1733', 'region-1774', 'region-1818', 'region-1832', 'region-1877', 'region-1920']",[]
region-108,"['region-27', 'region-108', 'region-233', 'region-299', 'region-392', 'region-464', 'region-486', 'region-865', 'region-1452', 'region-1480', 'region-1487', 'region-1490', 'region-1607', 'region-1609', 'region-1724', 'region-1963', 'region-1970', 'region-2026', 'region-2043']",[]
region-109,"['region-109', 'region-196', 'region-479', 'region-725', 'region-732', 'region-832', 'region-840', 'region-1785', 'region-1819', 'region-1852', 'region-1921', 'region-2023']",[]
region-110,"['region-44', 'region-110', 'region-311', 'region-373', 'region-523', 'region-629', 'region-855', 'region-920', 'region-943', 'region-948', 'region-955', 'region-959', 'region-980', 'region-1050', 'region-1101', 'region-1259', 'region-1722', 'region-1797', 'region-1808', 'region-1859', 'region-1930', 'region-1974', 'region-1978', 'region-1984']",[]
region-111,"['region-111', 'region-493', 'region-1895', 'region-1929', 'region-2029']",[]
region-112,"['region-45', 'region-112', 'region-278', 'region-369', 'region-405', 'region-410', 'region-660', 'region-674', 'region-697', 'region-945', 'region-1017', 'region-1091', 'region-1442', 'region-1648', 'region-1669', 'region-1676', 'region-1682', 'region-1720', 'region-1732', 'region-1739', 'region-1743', 'region-1935', 'region-1944']",[]
region-113,"['region-40', 'region-88', 'region-107', 'region-113', 'region-197', 'region-342', 'region-621', 'region-815', 'region-1725', 'region-1733', 'region-1774', 'region-1818', 'region-1832', 'region-1877', 'region-1920']",[]
region-114,"['region-114', 'region-2041']",[]
region-115,"['region-115', 'region-598', 'region-770', 'region-1916', 'region-1971', 'region-2016']",[]
region-116,"['region-42', 'region-116', 'region-192', 'region-276', 'region-684', 'region-719', 'region-734', 'region-739', 'region-740', 'region-788', 'region-830', 'region-843', 'region-870', 'region-910', 'region-949', 'region-979', 'region-1006', 'region-1032', 'region-1045', 'region-1069', 'region-1074', 'region-1078', 'region-1097', 'region-1108', 'region-1131', 'region-1153', 'region-1178', 'region-1289', 'region-1326', 'region-1362', 'region-1371', 'region-1378', 'region-1419', 'region-1436', 'region-1489', 'region-1538', 'region-1565', 'region-1566', 'region-1567', 'region-1578', 'region-1605', 'region-1835', 'region-1932', 'region-1942', 'region-2030']",[]
region-117,"['region-43', 'region-117', 'region-228', 'region-309', 'region-337', 'region-355', 'region-481', 'region-589', 'region-620', 'region-721', 'region-780', 'region-805', 'region-872', 'region-938', 'region-1039', 'region-1105', 'region-1232', 'region-1271', 'region-1390', 'region-1586', 'region-1738', 'region-1855', 'region-1962', 'region-1979', 'region-2020', 'region-2033']",[]
region-118,"['region-118', 'region-173', 'region-256', 'region-307', 'region-581', 'region-631', 'region-1211', 'region-1309', 'region-1346', 'region-1439', 'region-1467', 'region-1728', 'region-1894', 'region-1897', 'region-1922', 'region-1923']",[]
region-119,"['region-9', 'region-119', 'region-141', 'region-174', 'region-216', 'region-827', 'region-973', 'region-974', 'region-984', 'region-1241', 'region-1251', 'region-1312', 'region-1458', 'region-1544', 'region-1593', 'region-1640', 'region-1702', 'region-1842', 'region-1869', 'region-1879', 'region-1903', 'region-1965']",[]
region-120,"['region-120', 'region-272', 'region-547', 'region-1177', 'region-1254', 'region-1638', 'region-1798', 'region-1809', 'region-1825', 'region-1839', 'region-1865', 'region-1905']",[]
