Brand,Competitive,Related
KFC,"['Yudetaro', 'Katsuya', '牛繁', 'Gyū-Kaku', 'Hidakaya', '朝日屋', '小諸そば']","['Hooters', ""Carl's Jr."", ""McDonald's"", 'Starbucks', 'Big Boy Restaurants', 'Cinnabon', 'Burger King', ""Denny's"", ""Domino's"", 'Subway', 'Baskin-Robbins', ""Shaky's"", 'CoCo Ichibanya', ""Wendy's"", 'Shake Shack', ""Tully's Coffee"", 'Taco Bell', 'Pizza Hut', 'Pepper Lunch', 'Red Lobster']"
郵便ポスト,['ja:日本郵便'],[]
Navi Park,"['Bicycle Parking', 'NPC', 'park station', 'Break 24h', 'Repark', 'Times', 'Times 24th', '月極駐車場', 'Paraca', 'COIN PARK', 'Mitsui Repark', 'TOMO', 'ECOLO PARK', 'コインパーク', '三井のリパーク']",[]
Hidakaya,"['Yudetaro', 'Katsuya', '牛繁', 'KFC', 'Gyū-Kaku', '朝日屋', '小諸そば']",[]
ECOLO PARK,"['Navi Park', 'Bicycle Parking', 'NPC', 'park station', 'Break 24h', 'Repark', 'Times', 'Times 24th', '月極駐車場', 'Paraca', 'COIN PARK', 'Mitsui Repark', 'TOMO', 'コインパーク', '三井のリパーク']",[]
Jonathan's,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']",[]
Denny's,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']","[""TGI Friday's"", ""Carl's Jr."", 'Burger King', ""Wendy's"", 'Red Lobster', 'Big Boy Restaurants', 'Subway', 'Shake Shack']"
Hotto Motto,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']",[]
COIN PARK,"['Navi Park', 'Bicycle Parking', 'NPC', 'park station', 'Break 24h', 'Repark', 'Times', 'Times 24th', '月極駐車場', 'Paraca', 'Mitsui Repark', 'TOMO', 'ECOLO PARK', 'コインパーク', '三井のリパーク']",[]
Maruetsu,"['My Basket', 'Life', 'Summit', 'Seiyu', 'Gyomu Super']",[]
Life,"['My Basket', 'Summit', 'Seiyu', 'Gyomu Super', 'Maruetsu']",[]
Origin Bentō,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']",[]
Tomod's,"['Welcia', 'Sundrug', 'Seijo', 'papasu', 'Kusurino FUKUTARO', 'Cocokara Fine', 'Matsukiyo', 'Sugi Pharmacy']",[]
ja:日本郵便,['郵便ポスト'],[]
Daily Yamazaki,"['FamilyMart', 'Sunkus', 'LAWSON', 'NATURAL LAWSON', '7-Eleven', 'LAWSON STORE 100', 'Ministop']",['Circle K']
Fuji Soba,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']",[]
NATURAL LAWSON,"['FamilyMart', 'Sunkus', 'Daily Yamazaki', 'LAWSON', '7-Eleven', 'LAWSON STORE 100', 'Ministop']",[]
Sunkus,"['FamilyMart', 'Daily Yamazaki', 'LAWSON', 'NATURAL LAWSON', '7-Eleven', 'LAWSON STORE 100', 'Ministop']",[]
NPC,"['Navi Park', 'Bicycle Parking', 'park station', 'Break 24h', 'Repark', 'Times', 'Times 24th', '月極駐車場', 'Paraca', 'COIN PARK', 'Mitsui Repark', 'TOMO', 'ECOLO PARK', 'コインパーク', '三井のリパーク']",[]
Cocokara Fine,"['Welcia', 'Sundrug', 'Seijo', 'papasu', 'Kusurino FUKUTARO', ""Tomod's"", 'Matsukiyo', 'Sugi Pharmacy']",[]
Kakuyasu,"['Torikizoku', 'Uotami', '花', 'Yoronotaki', 'さくら', 'Sakaeya']",[]
Book Off,[],[]
Resona Bank,"['Sumitomo Mitsui Banking Corporation', 'Mizuho Bank', 'ja:みずほ銀行', 'MUFG Bank']",[]
CAN DO,"['Daiso', 'Don Quijote']",[]
UNIQLO,"['Aoyama Tailor', 'AOKI']",[]
papasu,"['Welcia', 'Sundrug', 'Seijo', 'Kusurino FUKUTARO', 'Cocokara Fine', ""Tomod's"", 'Matsukiyo', 'Sugi Pharmacy']",[]
Nakau,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Freshness Burger']",[]
Nippon Car Rental,['Toyota Rental Car'],[]
TSUTAYA,['GEO'],[]
TOMO,"['Navi Park', 'Bicycle Parking', 'NPC', 'park station', 'Break 24h', 'Repark', 'Times', 'Times 24th', '月極駐車場', 'Paraca', 'COIN PARK', 'Mitsui Repark', 'ECOLO PARK', 'コインパーク', '三井のリパーク']",[]
EXCELSIOR CAFFÉ,"['Renoir', 'Cafe de CRIE', 'Starbucks', 'CAFFÈ VELOCE', 'Pronto', 'ST.MARC CAFÉ', 'Kohikan', ""Tully's Coffee"", 'Doutor']",[]
Domino's,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']","[""Shaky's"", 'Pizza Hut', ""Carl's Jr."", 'Burger King', ""Wendy's"", 'Big Boy Restaurants', 'Subway', 'Shake Shack']"
Daikokuya,[],[]
Torikizoku,"['Uotami', 'Kakuyasu', '花', 'Yoronotaki', 'さくら', 'Sakaeya']",[]
創価学会,[],[]
Showa Shell Sekiyu,"['Cosmo', 'ENEOS', 'Idemitsu Kosan']",[]
Coca-Cola,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']",[]
Cafe de CRIE,"['Renoir', 'CAFFÈ VELOCE', 'Starbucks', 'EXCELSIOR CAFFÉ', 'Pronto', 'ST.MARC CAFÉ', 'Kohikan', ""Tully's Coffee"", 'Doutor']",[]
Pronto,"['Renoir', 'Cafe de CRIE', 'Starbucks', 'CAFFÈ VELOCE', 'EXCELSIOR CAFFÉ', 'Kohikan', 'ST.MARC CAFÉ', ""Tully's Coffee"", 'Doutor']",[]
Freshness Burger,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau']",[]
Ootoya,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']",[]
Renoir,"['Cafe de CRIE', 'Starbucks', 'CAFFÈ VELOCE', 'EXCELSIOR CAFFÉ', 'Pronto', 'ST.MARC CAFÉ', 'Kohikan', ""Tully's Coffee"", 'Doutor']",[]
JP,['Post Office'],[]
Chiyoda Sushi,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']",[]
Amazon Hub Locker,[],[]
Mister Donut,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']","['Blue Bottle Coffee', 'Starbucks', ""McDonald's""]"
Kusurino FUKUTARO,"['Welcia', 'Sundrug', 'Seijo', 'papasu', 'Cocokara Fine', ""Tomod's"", 'Matsukiyo', 'Sugi Pharmacy']",[]
Summit,"['My Basket', 'Life', 'Seiyu', 'Gyomu Super', 'Maruetsu']",[]
Yayoiken,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']",[]
Uotami,"['Torikizoku', 'Kakuyasu', '花', 'Yoronotaki', 'さくら', 'Sakaeya']",[]
Tenya,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']",[]
Gyū-Kaku,"['Katsuya', 'Yudetaro', '牛繁', 'KFC', 'Hidakaya', '朝日屋', '小諸そば']",[]
Sundrug,"['Welcia', 'Seijo', 'papasu', 'Kusurino FUKUTARO', 'Cocokara Fine', ""Tomod's"", 'Matsukiyo', 'Sugi Pharmacy']",[]
小諸そば,"['Katsuya', 'Yudetaro', '牛繁', 'KFC', 'Gyū-Kaku', 'Hidakaya', '朝日屋']",[]
Idemitsu Kosan,"['Cosmo', 'ENEOS', 'Showa Shell Sekiyu']",[]
Subway,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']","[""Carl's Jr."", 'Hooters', ""McDonald's"", 'Starbucks', 'Saizeriya', 'Big Boy Restaurants', 'Gyoza no Ohsho', 'Din Tai Fung', 'Burger King', ""Denny's"", ""Domino's"", 'Ringer Hut', ""Shaky's"", ""Wendy's"", 'Shake Shack', 'Taco Bell', 'Pizza Hut', ""TGI Friday's"", 'KFC', 'Red Lobster']"
SoftBank,"['Y!mobile', 'SoftBankShop', 'DoCoMo Shop', 'NTT docomo', 'au']",[]
Sugi Pharmacy,"['Welcia', 'Sundrug', 'Seijo', 'papasu', 'Kusurino FUKUTARO', 'Cocokara Fine', ""Tomod's"", 'Matsukiyo']",[]
Seiyu,"['My Basket', 'Life', 'Summit', 'Gyomu Super', 'Maruetsu']",[]
Honda,"['ja:日産プリンス東京販売', 'Toyota', 'Nissan']","['Volkswagen', 'BMW']"
Katsuya,"['Yudetaro', '牛繁', 'KFC', 'Gyū-Kaku', 'Hidakaya', '朝日屋', '小諸そば']",[]
コインパーク,"['Navi Park', 'Bicycle Parking', 'NPC', 'park station', 'Break 24h', 'Repark', 'Times', 'Times 24th', '月極駐車場', 'Paraca', 'COIN PARK', 'Mitsui Repark', 'TOMO', 'ECOLO PARK', '三井のリパーク']",[]
APA Hotel,[],[]
Toyota,"['ja:日産プリンス東京販売', 'Nissan', 'Honda']","['Lexus', 'スバル', 'Volkswagen', 'Suzuki', 'Porsche', 'Mazda', 'BMW']"
月極駐車場,"['Navi Park', 'Bicycle Parking', 'NPC', 'park station', 'Break 24h', 'Repark', 'Times', 'Times 24th', 'Paraca', 'COIN PARK', 'Mitsui Repark', 'TOMO', 'ECOLO PARK', 'コインパーク', '三井のリパーク']",[]
Anytime Fitness,[],[]
Bamiyan,"['Matsuya', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Gyoza no Ohsho', 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']",[]
Toyota Rental Car,['Nippon Car Rental'],[]
Aoyama Tailor,"['UNIQLO', 'AOKI']",[]
Gyoza no Ohsho,"['Matsuya', 'Bamiyan', ""McDonald's"", 'Saizeriya', 'Chiyoda Sushi', ""Jonathan's"", 'Hotto Motto', 'Fuji Soba', 'Burger King', ""Denny's"", 'Origin Bentō', 'Tenya', ""Domino's"", 'Subway', 'Gindaco', 'Yayoiken', 'Coca-Cola', 'CoCo Ichibanya', 'Gusto', 'Yoshinoya', 'Royal Host', 'Hanamarūdon', 'Sukiya', 'Mister Donut', '一番', 'Ootoya', 'MOS Burger', 'Ikinari Steak', 'Nakau', 'Freshness Burger']","['Big Boy Restaurants', ""TGI Friday's"", 'Red Lobster']"
