Brand,Competitive,Related
ALDI,"['Jewel-Osco', 'Walmart', 'Whole Foods Market', ""Mariano's Fresh Market""]","['Petco', ""Auntie Anne's""]"
Chipotle,"['Panda Express', 'Little Caesars', 'Potbelly', 'Burger King', ""Lou Malnati's Pizzeria"", ""Giordano's Pizzeria"", ""Domino's"", 'Taco Bell', ""Wendy's"", 'Checkers', 'Panera Bread', 'White Castle', ""Dunkin'"", ""Jimmy John's"", ""McDonald's"", 'Wingstop', 'Subway']","['Billy Goat Tavern', 'Krispy Krunchy Chicken', ""Domino's"", ""Auntie Anne's"", 'Panera Bread', ""Wendy's"", 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", 'White Castle', 'Shake Shack', ""Culver's"", 'Qdoba', 'Dairy Queen', 'KFC']"
Jimmy John's,"['Panda Express', 'Little Caesars', 'Potbelly', 'Burger King', 'Chipotle', ""Lou Malnati's Pizzeria"", ""Giordano's Pizzeria"", ""Domino's"", 'Taco Bell', ""Wendy's"", 'Checkers', 'Panera Bread', 'White Castle', ""Dunkin'"", ""McDonald's"", 'Wingstop', 'Subway']","['Starbucks', ""Jersey Mike's Subs"", 'Billy Goat Tavern', 'Krispy Krunchy Chicken', ""Domino's"", 'Louisiana Famous Fried Chicken', 'Panera Bread', ""Wendy's"", ""Steak 'n Shake"", 'White Castle', 'Shake Shack', ""Culver's"", 'Dairy Queen', 'KFC', 'Subway']"
U.S. Bank,"['Fifth Third Bank', 'Chase', 'Bank of America', 'Byline Bank', 'Wintrust Bank', 'Citibank', 'BMO Harris Bank', 'PNC Bank', 'Huntington Bank']","['CIBC', 'RBC']"
Cricket Wireless,"['AT&T', 'Verizon', 'Metro by T-Mobile', 'Boost Mobile', 'T-Mobile']","['Petco', 'AT&T']"
Hudson News,[],[]
BMO Harris Bank,"['Fifth Third Bank', 'Chase', 'Bank of America', 'Byline Bank', 'Wintrust Bank', 'U.S. Bank', 'Citibank', 'PNC Bank', 'Huntington Bank']",[]
Wendy's,"['Panda Express', 'Little Caesars', 'Potbelly', 'Burger King', 'Chipotle', ""Lou Malnati's Pizzeria"", ""Giordano's Pizzeria"", ""Domino's"", 'Taco Bell', 'Panera Bread', 'Checkers', 'White Castle', ""Dunkin'"", ""Jimmy John's"", ""McDonald's"", 'Wingstop', 'Subway']","['Little Caesars', 'Billy Goat Tavern', 'Manchu Wok', 'White Castle', 'Shake Shack', ""Culver's"", ""Dunkin'"", 'Insomnia Cookies', ""Raising Cane's"", ""Peet's Coffee"", 'Subway', 'Sweetgreen', ""Harold's Chicken Shack"", 'Panda Express', 'Chick-fil-A', 'Jollibee', ""Steak 'n Shake"", ""Auntie Anne's"", 'Louisiana Famous Fried Chicken', 'TCBY', 'The Halal Guys', 'Einstein Bros. Bagels', ""Jimmy John's"", 'Dairy Queen', 'Starbucks Reserve', 'Freshii', 'Hooters', 'Au Bon Pain', 'Noodles & Company', 'Taco Bell', 'MOD Pizza', 'Five Guys', 'The Original Pancake House', 'Baskin-Robbins', 'Starbucks', 'Cold Stone Creamery', ""Jersey Mike's Subs"", 'Pizza Hut', 'Burger King', 'Sbarro', 'Krispy Krunchy Chicken', ""Domino's"", 'Panera Bread', 'Argo Tea', 'Blaze Pizza', ""Seattle's Best Coffee"", ""Arby's"", ""McDonald's"", 'Boston Market', 'Cinnabon', 'Wingstop', 'Checkers', ""Church's Chicken"", 'Così', 'Potbelly', 'Chipotle', ""Portillo's"", 'Jamba', 'Qdoba', 'Corner Bakery', 'Popeyes', ""Jason's Deli"", 'KFC', 'IHOP', 'Tropical Smoothie Cafe']"
Taco Bell,"['Panda Express', 'Little Caesars', 'Potbelly', 'Burger King', 'Chipotle', ""Lou Malnati's Pizzeria"", ""Giordano's Pizzeria"", ""Domino's"", 'Panera Bread', ""Wendy's"", 'Checkers', 'White Castle', ""Dunkin'"", ""Jimmy John's"", ""McDonald's"", 'Wingstop', 'Subway']","['Pizza Hut', 'Billy Goat Tavern', 'Krispy Krunchy Chicken', ""Domino's"", 'Louisiana Famous Fried Chicken', 'Panera Bread', ""Steak 'n Shake"", 'White Castle', 'Petco', 'Shake Shack', ""Culver's"", 'Qdoba', 'Dairy Queen', 'KFC']"
KFC,"[""Church's Chicken"", 'Popeyes']","[""Rosati's"", 'Shake Shack', 'Ford', ""Jersey Mike's Subs"", 'Pret A Manger', 'Panera Bread', 'Argo Tea', 'Blaze Pizza', ""Seattle's Best Coffee"", ""Arby's"", ""McDonald's"", 'Cinnabon', ""Church's Chicken"", 'Kindred Healthcare', ""Portillo's"", ""Nando's"", ""Wendy's"", ""Chuck E. Cheese's"", 'IHOP', 'Tropical Smoothie Cafe', 'Billy Goat Tavern', 'Manchu Wok', ""Culver's"", ""Peet's Coffee"", 'Subway', ""Harold's Chicken Shack"", 'Sweetgreen', 'Chick-fil-A', 'The Halal Guys', 'Unos', 'Starbucks Reserve', 'Freshii', 'Au Bon Pain', 'Taco Bell', 'MOD Pizza', 'The Original Pancake House', 'UPS', ""Lou Malnati's Pizzeria"", 'Così', 'Vapiano', 'Popeyes', 'Little Caesars', 'White Castle', ""Dunkin'"", 'Insomnia Cookies', 'Panda Express', 'Louisiana Famous Fried Chicken', 'Einstein Bros. Bagels', ""Jimmy John's"", 'Dairy Queen', 'Hooters', 'Noodles & Company', 'Le Pain Quotidien', 'Five Guys', 'Pizza Hut', 'Starbucks', 'Burger King', 'Sbarro', ""Domino's"", ""Jet's Pizza"", 'Pollo Campero', 'Checkers', 'Home Run Inn', 'Chipotle', ""Giordano's Pizzeria"", 'Qdoba', ""Raising Cane's"", 'Jollibee', ""Auntie Anne's"", ""Steak 'n Shake"", 'TCBY', 'Baskin-Robbins', 'Cold Stone Creamery', 'Krispy Krunchy Chicken', ""Sarpino's Pizzeria"", 'Buffalo Wild Wings', 'Wingstop', 'Boston Market', 'Potbelly', 'Jamba', 'Corner Bakery', ""Jason's Deli""]"
O'Reilly Auto Parts,"['Advance Auto Parts', 'AutoZone']","['NAPA Auto Parts', 'Carquest', 'Advance Auto Parts']"
Target,"['Marshalls', 'Ross']","[""Auntie Anne's"", 'Petco', 'Burlington', 'Best Buy', 'TJ Maxx', 'Ross']"
AT&T,"['Verizon', 'Cricket Wireless', 'Metro by T-Mobile', 'Boost Mobile', 'T-Mobile']","['Toyota', 'Clark', 'Marathon', 'BP Shop', 'Best Buy', 'Costco', 'Amazon', 'The Home Depot', 'Shell', 'Cricket Wireless', 'Metro by T-Mobile', 'T-Mobile', 'AT&T', 'Walmart', 'Boost Mobile', 'Verizon', 'Bank of America', 'Tesla', 'Petco']"
U-Haul,[],[]
Spray Pool,"['Water Playground', 'Spray Feature']",[]
Citibank,"['Fifth Third Bank', 'Chase', 'Bank of America', 'Byline Bank', 'Wintrust Bank', 'U.S. Bank', 'BMO Harris Bank', 'PNC Bank', 'Huntington Bank']","['CIBC', 'RBC']"
Byline Bank,"['Fifth Third Bank', 'Chase', 'Bank of America', 'Wintrust Bank', 'U.S. Bank', 'Citibank', 'BMO Harris Bank', 'PNC Bank', 'Huntington Bank']",[]
Domino's,"['Panda Express', 'Little Caesars', 'Potbelly', 'Burger King', 'Chipotle', ""Lou Malnati's Pizzeria"", ""Giordano's Pizzeria"", 'Taco Bell', ""Wendy's"", 'Checkers', 'Panera Bread', 'White Castle', ""Dunkin'"", ""Jimmy John's"", ""McDonald's"", 'Wingstop', 'Subway']","['Little Caesars', 'Billy Goat Tavern', ""Rosati's"", 'Gino’s East', ""Culver's"", ""Dunkin'"", 'White Castle', 'Shake Shack', ""Raising Cane's"", 'Subway', 'Panda Express', 'Chick-fil-A', 'Jollibee', ""Auntie Anne's"", ""Steak 'n Shake"", 'Louisiana Famous Fried Chicken', 'Ford', 'Einstein Bros. Bagels', ""Jimmy John's"", 'Unos', 'Dairy Queen', 'Starbucks Reserve', 'Taco Bell', 'MOD Pizza', 'Five Guys', 'Pizza Hut', 'Starbucks', 'Cold Stone Creamery', ""Jersey Mike's Subs"", ""Lou Malnati's Pizzeria"", 'Burger King', 'Sbarro', ""Sarpino's Pizzeria"", ""Domino's"", 'UPS', 'Panera Bread', 'Popeyes', 'Krispy Krunchy Chicken', 'Blaze Pizza', ""Jet's Pizza"", 'Buffalo Wild Wings', ""Chili's"", 'Cinnabon', ""McDonald's"", 'Wingstop', 'Checkers', ""Church's Chicken"", 'Kindred Healthcare', 'Home Run Inn', 'Chipotle', ""Giordano's Pizzeria"", 'Vapiano', ""Nando's"", 'Qdoba', ""Chuck E. Cheese's"", 'KFC', 'IHOP']"
Rainbow,[],[]
Foot Locker,['DTLR'],['Best Buy']
Dollar General,"['Dollar Tree', 'Family Dollar', 'Metra']","[""Auntie Anne's"", 'Petco', 'TJ Maxx', 'Burlington']"
Wingstop,"['Panda Express', 'Little Caesars', 'Potbelly', 'Burger King', 'Chipotle', ""Lou Malnati's Pizzeria"", ""Giordano's Pizzeria"", ""Domino's"", 'Taco Bell', ""Wendy's"", 'Checkers', 'Panera Bread', 'White Castle', ""Dunkin'"", ""Jimmy John's"", ""McDonald's"", 'Subway']","['Billy Goat Tavern', 'White Castle', 'Shake Shack', ""Culver's"", ""Raising Cane's"", ""Harold's Chicken Shack"", 'Chick-fil-A', 'Jollibee', 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", 'The Halal Guys', 'Dairy Queen', 'Hooters', 'Krispy Krunchy Chicken', 'Panera Bread', 'Buffalo Wild Wings', 'Pollo Campero', 'Boston Market', ""Church's Chicken"", ""Nando's"", 'Popeyes', 'KFC']"
Huntington Bank,"['Fifth Third Bank', 'Chase', 'Bank of America', 'Byline Bank', 'Wintrust Bank', 'U.S. Bank', 'Citibank', 'BMO Harris Bank', 'PNC Bank']",[]
Public Storage,['Extra Space Storage'],"['Starbucks Reserve', 'Petco']"
White Castle,"['Panda Express', 'Little Caesars', 'Potbelly', 'Burger King', 'Chipotle', ""Lou Malnati's Pizzeria"", ""Giordano's Pizzeria"", ""Domino's"", 'Taco Bell', ""Wendy's"", 'Checkers', 'Panera Bread', ""Dunkin'"", ""Jimmy John's"", ""McDonald's"", 'Wingstop', 'Subway']","['Little Caesars', 'Billy Goat Tavern', 'Manchu Wok', 'Shake Shack', ""Culver's"", ""Dunkin'"", 'Insomnia Cookies', ""Raising Cane's"", ""Peet's Coffee"", 'Subway', 'Sweetgreen', ""Harold's Chicken Shack"", 'Panda Express', 'Chick-fil-A', 'Jollibee', ""Steak 'n Shake"", ""Auntie Anne's"", 'Louisiana Famous Fried Chicken', 'TCBY', 'The Halal Guys', 'Einstein Bros. Bagels', ""Jimmy John's"", 'Dairy Queen', 'Starbucks Reserve', 'Hooters', 'Au Bon Pain', 'Noodles & Company', 'Taco Bell', 'MOD Pizza', 'Five Guys', 'The Original Pancake House', 'Baskin-Robbins', 'Starbucks', 'Cold Stone Creamery', ""Jersey Mike's Subs"", 'Pizza Hut', 'Burger King', 'Sbarro', 'Krispy Krunchy Chicken', ""Domino's"", 'Panera Bread', 'Argo Tea', 'Blaze Pizza', ""Seattle's Best Coffee"", ""Arby's"", ""McDonald's"", 'Boston Market', 'Cinnabon', 'Wingstop', 'Checkers', ""Church's Chicken"", 'Così', 'Potbelly', 'Chipotle', ""Portillo's"", ""Wendy's"", 'Jamba', 'Qdoba', 'Corner Bakery', 'Popeyes', ""Jason's Deli"", 'KFC', 'IHOP', 'Tropical Smoothie Cafe']"
Tesla Supercharger,"['Amstar', 'BP', 'Marathon', 'Shell', 'GoLo', 'Citgo', 'Mobil']",['Tesla']
Ace Hardware,"['The Home Depot', 'True Value']",['Petco']
True Value,"['Ace Hardware', 'The Home Depot']",[]
Extra Space Storage,['Public Storage'],[]
The Salvation Army,[],['Petco']
Panda Express,"['Little Caesars', 'Potbelly', 'Burger King', 'Chipotle', ""Lou Malnati's Pizzeria"", ""Giordano's Pizzeria"", ""Domino's"", 'Taco Bell', ""Wendy's"", 'Checkers', 'Panera Bread', 'White Castle', ""Dunkin'"", ""Jimmy John's"", ""McDonald's"", 'Wingstop', 'Subway']","['Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Manchu Wok', 'Louisiana Famous Fried Chicken', 'Panera Bread', ""Steak 'n Shake"", 'Shake Shack', 'Petco', ""Culver's"", 'Dairy Queen']"
Advance Auto Parts,"[""O'Reilly Auto Parts"", 'AutoZone']","['NAPA Auto Parts', ""O'Reilly Auto Parts"", 'AutoZone']"
Giordano's Pizzeria,"['Panda Express', 'Little Caesars', 'Potbelly', 'Burger King', 'Chipotle', ""Lou Malnati's Pizzeria"", ""Domino's"", 'Taco Bell', ""Wendy's"", 'Checkers', 'Panera Bread', 'White Castle', ""Dunkin'"", ""Jimmy John's"", ""McDonald's"", 'Wingstop', 'Subway']","['Pizza Hut', 'Little Caesars', 'Home Run Inn', 'Krispy Krunchy Chicken', ""Lou Malnati's Pizzeria"", 'Sbarro', ""Sarpino's Pizzeria"", 'Louisiana Famous Fried Chicken', 'Panera Bread', 'Unos', 'Dairy Queen', 'MOD Pizza']"
Forest Preserve District of Cook County,"['Chess Tables', 'Chicago Park District']",[]
Metra,"['Dollar Tree', 'Family Dollar', 'Dollar General']",[]
Little Caesars,"['Panda Express', 'Potbelly', 'Burger King', 'Chipotle', ""Lou Malnati's Pizzeria"", ""Giordano's Pizzeria"", ""Domino's"", 'Taco Bell', ""Wendy's"", 'Checkers', 'Panera Bread', 'White Castle', ""Dunkin'"", ""Jimmy John's"", ""McDonald's"", 'Wingstop', 'Subway']","['Billy Goat Tavern', ""Rosati's"", 'Gino’s East', 'Shake Shack', ""Culver's"", 'Louisiana Famous Fried Chicken', ""Steak 'n Shake"", 'Unos', 'Dairy Queen', 'MOD Pizza', 'Pizza Hut', 'Krispy Krunchy Chicken', ""Lou Malnati's Pizzeria"", 'Sbarro', ""Sarpino's Pizzeria"", ""Domino's"", 'Panera Bread', 'Blaze Pizza', ""Jet's Pizza"", 'Home Run Inn', ""Giordano's Pizzeria"", 'Vapiano', ""Chuck E. Cheese's""]"
Verizon,"['AT&T', 'Cricket Wireless', 'Metro by T-Mobile', 'Boost Mobile', 'T-Mobile']",[]
GameStop,[],['Best Buy']
Ross,"['Target', 'Marshalls']","['Marshalls', 'Target', 'Walmart', 'Petco', 'Burlington', 'TJ Maxx']"
Chess Tables,"['Forest Preserve District of Cook County', 'Chicago Park District']",[]
Jiffy Lube,['Midas'],[]
Mariano's Fresh Market,"['Jewel-Osco', 'ALDI', 'Walmart', 'Whole Foods Market']",[]
Fresenius Kidney Care,"['Howard Brown Health Center', 'DaVita Dialysis']",[]
Mattress Firm,[],"['Best Buy', 'Petco']"
Sherwin-Williams,[],[]
Marshalls,"['Target', 'Ross']","['H&M', 'Petco', 'Burlington', 'TJ Maxx', 'Ross']"
Amstar,"['BP', 'Marathon', 'Shell', 'GoLo', 'Citgo', 'Tesla Supercharger', 'Mobil']",[]
FedEx Office,[],[]
Corner Bakery,"['Starbucks', ""Peet's Coffee""]","['Billy Goat Tavern', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', 'Panera Bread', ""Steak 'n Shake"", ""Culver's"", 'Shake Shack', 'Dairy Queen']"
Planet Fitness,[],[]
GoLo,"['Amstar', 'BP', 'Marathon', 'Shell', 'Citgo', 'Tesla Supercharger', 'Mobil']",[]
Howard Brown Health Center,"['DaVita Dialysis', 'Fresenius Kidney Care']",[]
DTLR,['Foot Locker'],[]
Sally Beauty,[],['Best Buy']
GNC,[],['Best Buy']
Midas,['Jiffy Lube'],[]
Cash America International,[],[]
Western Union,[],[]
DaVita Dialysis,"['Howard Brown Health Center', 'Fresenius Kidney Care']",[]
Water Playground,"['Spray Pool', 'Spray Feature']",[]
Peet's Coffee,"['Starbucks', 'Corner Bakery']","['Billy Goat Tavern', 'Pret A Manger', 'Krispy Krunchy Chicken', 'Louisiana Famous Fried Chicken', 'Panera Bread', 'Philz Coffee', ""Steak 'n Shake"", ""Seattle's Best Coffee"", 'Petco', ""Dunkin'"", 'Shake Shack', ""Culver's"", ""McDonald's"", 'Starbucks Reserve', 'Joe & The Juice', 'Au Bon Pain', 'Dairy Queen', 'La Colombe Coffee']"
