Brand,Competitive,Related
Pret A Manger,"['Juice Generation', 'Golden Krust Caribbean Bakery & Grill', 'White Castle', 'Shake Shack', ""Dunkin'"", 'Juice Press', 'Dos Toros Taqueria', 'Subway', 'Sweetgreen', 'Panda Express', 'Bareburger', ""Dunkin' Donuts"", 'Texas Chicken & Burgers', 'Dig', 'Taco Bell', 'Five Guys', 'Just Salad', 'Burger King', ""Xi'an Famous Foods"", ""Papa John's"", ""Dunkin' Donuts/Baskin Robbins"", 'Panera Bread', ""Applebee's Neighborhood Grill & Bar"", 'Checkers', ""McDonald's"", 'Lenwich', 'Chipotle', ""Wendy's"", 'Gong Cha', 'Atomic Wings', 'IHOP']","[""Peet's Coffee"", 'The Coffee Bean & Tea Leaf', 'Aroma Espresso Bar', 'Krispy Kreme', 'Panera Bread', 'Tim Hortons', 'Red Lobster', ""TGI Friday's"", 'La Colombe Coffee Roasters', 'Blue Bottle Coffee', 'Joe & The Juice', 'KFC', 'Au Bon Pain', 'Starbucks Reserve']"
Santander,"['Apple Bank', 'Chase', 'Bank of America', 'Popular', 'Wells Fargo', 'Citibank', 'Investors Bank', 'Valley National Bank', 'HSBC', 'Ridgewood Savings Bank', 'TD Bank']","['Citizens Bank', 'Charles Schwab']"
Shell,"['ChargePoint', 'BP', 'Sunoco', 'Gulf', 'Speedway', 'Citgo', 'Tesla Supercharger', 'Mobil', 'Exxon']","['Citizens Bank', 'BP Shop', 'Shell', 'Lukoil']"
Sunoco,"['ChargePoint', 'BP', 'Shell', 'Gulf', 'Speedway', 'Citgo', 'Tesla Supercharger', 'Mobil', 'Exxon']","[""Dave & Buster's""]"
HSBC,"['Apple Bank', 'Chase', 'Bank of America', 'Popular', 'Wells Fargo', 'Citibank', 'Santander', 'Investors Bank', 'Ridgewood Savings Bank', 'Valley National Bank', 'TD Bank']",[]
New York City Department of Education,"['Intermediate School 115', 'Middle School 198']","['New York City Fire Department', 'Greenacre Park', 'New York Public Library', 'New York City Department of Parks and Recreation', 'Mount Sinai Beth Israel', 'Eileen Fisher', 'Dante Park', 'Success Academy', 'NYPD Harbor Unit']"
Dollar Tree,['Family Dollar'],"['Brooks Brothers', ""Carter's"", ""Auntie Anne's"", 'Barneys New York', ""Macy's"", 'American Eagle Outfitters', 'Cathay Bank', 'Petco', 'Best Buy', 'TJ Maxx']"
Wendy's,"['Juice Generation', 'Golden Krust Caribbean Bakery & Grill', 'White Castle', 'Shake Shack', ""Dunkin'"", 'Juice Press', 'Dos Toros Taqueria', 'Subway', 'Sweetgreen', 'Panda Express', 'Bareburger', ""Dunkin' Donuts"", 'Texas Chicken & Burgers', 'Dig', 'Taco Bell', 'Five Guys', 'Just Salad', 'Pret A Manger', 'Burger King', ""Xi'an Famous Foods"", ""Papa John's"", ""Dunkin' Donuts/Baskin Robbins"", 'Panera Bread', ""Applebee's Neighborhood Grill & Bar"", 'Checkers', ""McDonald's"", 'Lenwich', 'Chipotle', 'Gong Cha', 'Atomic Wings', 'IHOP']","['Little Caesars', 'Aroma Espresso Bar', 'White Castle', 'Shake Shack', 'Insomnia Cookies', ""Peet's Coffee"", 'Subway', 'Sweetgreen', 'Panda Express', 'Chick-fil-A', 'Jollibee', 'Krispy Kreme', ""Auntie Anne's"", ""Dunkin' Donuts"", 'The Halal Guys', 'Starbucks Reserve', 'Hooters', 'Au Bon Pain', 'Taco Bell', 'Five Guys', 'Baskin-Robbins', 'Cold Stone Creamery', 'Pizza Hut', ""Nathan's"", 'BurgerFi', 'Burger King', 'Sbarro', ""Papa John's"", 'Panera Bread', ""Denny's"", ""Arby's"", ""McDonald's"", 'Boston Market', 'Johnny Rockets', 'Cinnabon', 'Wingstop', 'Checkers', ""Jersey Mike's"", 'The Counter', 'Carvel', 'Charleys Philly Steaks', 'Così', 'The Coffee Bean & Tea Leaf', 'Potbelly', 'Chipotle', 'Smashburger', 'Häagen-Dazs', 'Tim Hortons', 'Pinkberry', ""Ben & Jerry's"", 'Red Mango', 'Qdoba', 'Popeyes', 'KFC', 'IHOP', 'Tropical Smoothie Cafe']"
Boost Mobile,"['AT&T', 'Verizon', 'Sprint', 'Cricket Wireless', 'Best Buy', 'Metro by T-Mobile', 'Apple Store', 'T-Mobile']",['Petco']
Taco Bell,"['Juice Generation', 'Golden Krust Caribbean Bakery & Grill', 'White Castle', 'Shake Shack', ""Dunkin'"", 'Juice Press', 'Dos Toros Taqueria', 'Subway', 'Sweetgreen', 'Panda Express', 'Bareburger', ""Dunkin' Donuts"", 'Texas Chicken & Burgers', 'Dig', 'Just Salad', 'Five Guys', 'Pret A Manger', 'Burger King', ""Xi'an Famous Foods"", ""Papa John's"", ""Dunkin' Donuts/Baskin Robbins"", 'Panera Bread', ""Applebee's Neighborhood Grill & Bar"", 'Checkers', ""McDonald's"", 'Lenwich', 'Chipotle', ""Wendy's"", 'Gong Cha', 'Atomic Wings', 'IHOP']","['Pizza Hut', ""Nathan's"", 'BurgerFi', 'Smashburger', ""Papa John's"", 'Panera Bread', 'White Castle', 'Shake Shack', 'Petco', 'Qdoba', 'KFC', 'Johnny Rockets', 'The Counter']"
Target,"['Marshalls', 'TJ Maxx']","['Brooks Brothers', ""Auntie Anne's"", 'Barneys New York', ""Macy's"", 'Petco', 'Best Buy', 'TJ Maxx']"
Le Pain Quotidien,"['Starbucks', 'Bluestone Lane', 'Gregorys Coffee', 'ViVi Bubble Tea', 'Birch Coffee', 'Hungry Ghost', 'Blue Bottle Coffee', 'Joe Coffee Company']","['KFC', ""Auntie Anne's"", 'Panera Bread']"
Blink Fitness,"['Planet Fitness', 'Retro Fitness', 'Equinox', 'Crunch Fitness', 'Orangetheory Fitness']",[]
Speedway,"['ChargePoint', 'BP', 'Shell', 'Sunoco', 'Gulf', 'Citgo', 'Tesla Supercharger', 'Mobil', 'Exxon']",[]
Intermediate School 115,"['New York City Department of Education', 'Middle School 198']",[]
Wells Fargo,"['Apple Bank', 'Chase', 'Bank of America', 'Popular', 'Valley National Bank', 'Citibank', 'Santander', 'Investors Bank', 'HSBC', 'Ridgewood Savings Bank', 'TD Bank']","['Charles Schwab', 'Petco']"
CubeSmart,['Public Storage'],"[""Carter's"", 'American Eagle Outfitters', 'Cathay Bank']"
GNC,['The Vitamin Shoppe'],"['Brooks Brothers', 'Best Buy', 'Barneys New York']"
Gulf,"['ChargePoint', 'BP', 'Shell', 'Sunoco', 'Speedway', 'Citgo', 'Tesla Supercharger', 'Mobil', 'Exxon']","['Gulf', 'Petco']"
Apple Bank,"['Chase', 'Bank of America', 'Popular', 'Wells Fargo', 'Citibank', 'Santander', 'Investors Bank', 'HSBC', 'Ridgewood Savings Bank', 'Valley National Bank', 'TD Bank']",[]
ChargePoint,"['BP', 'Shell', 'Sunoco', 'Gulf', 'Speedway', 'Citgo', 'Tesla Supercharger', 'Mobil', 'Exxon']",[]
Texas Chicken & Burgers,"['Juice Generation', 'Golden Krust Caribbean Bakery & Grill', 'White Castle', 'Shake Shack', ""Dunkin'"", 'Juice Press', 'Dos Toros Taqueria', 'Subway', 'Sweetgreen', 'Panda Express', 'Bareburger', ""Dunkin' Donuts"", 'Dig', 'Taco Bell', 'Five Guys', 'Just Salad', 'Pret A Manger', 'Burger King', ""Xi'an Famous Foods"", ""Papa John's"", ""Dunkin' Donuts/Baskin Robbins"", 'Panera Bread', ""Applebee's Neighborhood Grill & Bar"", 'Checkers', ""McDonald's"", 'Lenwich', 'Chipotle', ""Wendy's"", 'Gong Cha', 'Atomic Wings', 'IHOP']",[]
Planet Fitness,"['Blink Fitness', 'Retro Fitness', 'Equinox', 'Crunch Fitness', 'Orangetheory Fitness']","[""Carter's"", 'American Eagle Outfitters', 'Cathay Bank']"
Staples,[],"[""Carter's"", 'American Eagle Outfitters', 'Petco', 'Cathay Bank']"
Middle School 198,"['Intermediate School 115', 'New York City Department of Education']",[]
The Vitamin Shoppe,['GNC'],[]
Shake Shack,"['Juice Generation', 'Golden Krust Caribbean Bakery & Grill', 'White Castle', ""Dunkin'"", 'Juice Press', 'Dos Toros Taqueria', 'Subway', 'Sweetgreen', 'Panda Express', 'Bareburger', ""Dunkin' Donuts"", 'Texas Chicken & Burgers', 'Dig', 'Taco Bell', 'Five Guys', 'Just Salad', 'Pret A Manger', 'Burger King', ""Xi'an Famous Foods"", ""Papa John's"", ""Dunkin' Donuts/Baskin Robbins"", 'Panera Bread', ""Applebee's Neighborhood Grill & Bar"", 'Checkers', ""McDonald's"", 'Lenwich', 'Chipotle', ""Wendy's"", 'Gong Cha', 'Atomic Wings', 'IHOP']","['Little Caesars', 'White Castle', 'Insomnia Cookies', ""Peet's Coffee"", 'Subway', 'Sweetgreen', 'Panda Express', 'Chick-fil-A', 'Jollibee', 'Krispy Kreme', ""Auntie Anne's"", ""Dunkin' Donuts"", 'The Halal Guys', ""TGI Friday's"", 'Starbucks Reserve', 'Hooters', 'Au Bon Pain', 'Taco Bell', 'Five Guys', 'Baskin-Robbins', 'Cold Stone Creamery', 'Pizza Hut', ""Nathan's"", 'BurgerFi', 'Burger King', 'Sbarro', ""Papa John's"", 'Panera Bread', ""Denny's"", ""Arby's"", ""McDonald's"", 'Boston Market', 'Johnny Rockets', 'Cinnabon', 'Wingstop', 'Checkers', ""Jersey Mike's"", 'The Counter', 'Carvel', 'Charleys Philly Steaks', 'Così', 'The Coffee Bean & Tea Leaf', 'Potbelly', 'Chipotle', 'Smashburger', ""Wendy's"", 'Häagen-Dazs', 'Pinkberry', 'Tim Hortons', ""Ben & Jerry's"", 'Red Mango', 'Red Lobster', 'Qdoba', 'Popeyes', 'KFC', 'IHOP', 'Tropical Smoothie Cafe']"
New York City Department of Parks and Recreation,['Greenstreets'],"['Greenacre Park', 'New York City Fire Department', 'New York Public Library', 'Central Park Carousel', 'Riverside Park (Manhattan)', 'Mount Sinai Beth Israel', 'The Halal Guys', 'Dante Park', 'Marriott', 'Alice Austen House', 'Chelsea Piers', ""TGI Friday's"", 'NYPD Harbor Unit', 'Washington Street Plaza', 'National Park Service', 'New York City Department of Education']"
KFC,"['Crown Fried Chicken', 'Chick-fil-A', 'Popeyes']","['Little Caesars', 'Aroma Espresso Bar', 'California Pizza Kitchen', 'White Castle', 'Shake Shack', 'Insomnia Cookies', ""Peet's Coffee"", 'Subway', 'Sweetgreen', 'Panda Express', 'Chick-fil-A', 'Jollibee', 'Krispy Kreme', ""Auntie Anne's"", 'The Halal Guys', ""Dunkin' Donuts"", 'Caffé Venice', ""TGI Friday's"", 'Outback Steakhouse', 'Starbucks Reserve', 'Hooters', 'Au Bon Pain', 'Le Pain Quotidien', 'Taco Bell', 'Just Salad', 'Five Guys', 'Baskin-Robbins', 'Cold Stone Creamery', 'Pizza Hut', ""Dave & Buster's"", 'BurgerFi', 'Burger King', 'Sbarro', ""Papa John's"", ""Nathan's"", 'UPS', 'Panera Bread', 'Pret A Manger', 'Popeyes', ""Denny's"", 'Buffalo Wild Wings', 'Pollo Campero', ""Applebee's Neighborhood Grill & Bar"", ""Arby's"", 'Cinnabon', 'Wingstop', 'Boston Market', 'Johnny Rockets', ""McDonald's"", 'Checkers', ""Jersey Mike's"", 'Charleys Philly Steaks', 'Carvel', 'The Counter', 'Così', 'The Coffee Bean & Tea Leaf', 'Potbelly', 'Chipotle', 'Smashburger', 'Wasabi', ""Wendy's"", 'Olive Garden', 'Chopt', 'Tim Hortons', 'Häagen-Dazs', 'Red Lobster', ""Ben & Jerry's"", 'Pinkberry', 'Qdoba', 'Red Mango', ""Chuck E. Cheese's"", 'Golden Corral', 'IHOP', 'Tropical Smoothie Cafe']"
Ideal Food Basket,"['C-Town Supermarkets', 'Key Foods', 'Whole Foods Market', 'Bravo', 'Foodtown', 'Stop & Shop', 'Gristedes', ""Trader Joe's"", 'Fine Fare', 'Key Food']",[]
Investors Bank,"['Apple Bank', 'Chase', 'Bank of America', 'Popular', 'Wells Fargo', 'Citibank', 'Santander', 'Valley National Bank', 'HSBC', 'Ridgewood Savings Bank', 'TD Bank']",[]
Citgo,"['ChargePoint', 'BP', 'Shell', 'Sunoco', 'Gulf', 'Speedway', 'Tesla Supercharger', 'Mobil', 'Exxon']",[]
Greenstreets,['New York City Department of Parks and Recreation'],[]
Carvel,"['Baskin-Robbins', ""Ralph's Italian Ices""]","['Baskin-Robbins', ""Nathan's"", 'BurgerFi', 'Smashburger', 'Panera Bread', 'Häagen-Dazs', 'White Castle', 'Shake Shack', ""Ben & Jerry's"", 'Johnny Rockets', 'The Counter']"
The Home Depot,['True Value'],"['Petco', ""Auntie Anne's""]"
GameStop,[],"['Brooks Brothers', ""Carter's"", 'Barneys New York', 'American Eagle Outfitters', 'Cathay Bank', 'Best Buy']"
AutoZone,[],"['Pep Boys', 'Petco', 'Advance Auto Parts']"
Baskin-Robbins,"['Carvel', ""Ralph's Italian Ices""]","['Carvel', 'Cold Stone Creamery', ""Nathan's"", 'BurgerFi', 'Smashburger', 'Panera Bread', 'Häagen-Dazs', 'Pinkberry', ""Ben & Jerry's"", 'Shake Shack', 'White Castle', 'Red Mango', 'Johnny Rockets', 'The Counter']"
Dig,"['Juice Generation', 'Golden Krust Caribbean Bakery & Grill', 'White Castle', 'Shake Shack', ""Dunkin'"", 'Juice Press', 'Dos Toros Taqueria', 'Subway', 'Sweetgreen', 'Panda Express', 'Bareburger', ""Dunkin' Donuts"", 'Texas Chicken & Burgers', 'Taco Bell', 'Just Salad', 'Five Guys', 'Pret A Manger', 'Burger King', ""Xi'an Famous Foods"", ""Papa John's"", ""Dunkin' Donuts/Baskin Robbins"", 'Panera Bread', ""Applebee's Neighborhood Grill & Bar"", 'Checkers', ""McDonald's"", 'Lenwich', 'Chipotle', ""Wendy's"", 'Gong Cha', 'Atomic Wings', 'IHOP']",[]
FedEx Office,[],[]
Stop & Shop,"['C-Town Supermarkets', 'Key Foods', 'Whole Foods Market', 'Bravo', 'Foodtown', 'Gristedes', 'Ideal Food Basket', ""Trader Joe's"", 'Fine Fare', 'Key Food']","['Best Buy', 'Petco', 'Barneys New York', 'Brooks Brothers']"
Family Dollar,['Dollar Tree'],"['Brooks Brothers', 'Barneys New York', ""Macy's"", 'Petco', 'Best Buy', 'TJ Maxx']"
Marshalls,"['Target', 'TJ Maxx']","['H&M', 'Petco', 'TJ Maxx', ""Macy's""]"
Fine Fare,"['C-Town Supermarkets', 'Key Foods', 'Whole Foods Market', 'Bravo', 'Foodtown', 'Stop & Shop', 'Gristedes', 'Ideal Food Basket', ""Trader Joe's"", 'Key Food']",[]
