Region,Nearby,Similar
East Village_30,"['East Village_20', 'East Village_22', 'East Village_24', 'East Village_26', 'East Village_29', 'Gramercy_36', 'Midtown South-Flatiron-Union Square_37', 'Greenwich Village_40', 'Greenwich Village_43', 'Greenwich Village_44', 'East Village_2018', 'East Village_2019', 'Greenwich Village_2020', 'Gramercy_2031', 'Stuyvesant Town-Peter Cooper Village_2032', 'Gramercy_2034']","['West Village_48', 'Midtown-Times Square_100', ""Hell's Kitchen_107"", ""Hell's Kitchen_120"", 'Sunset Park (Central)_611', 'East Village_2019']"
SoHo-Little Italy-Hudson Square_31,"['Chinatown-Two Bridges_3', 'Lower East Side_7', 'Chinatown-Two Bridges_15', 'Lower East Side_19', 'Tribeca-Civic Center_21', 'Tribeca-Civic Center_23', 'Lower East Side_25', 'East Village_26', 'SoHo-Little Italy-Hudson Square_32', 'SoHo-Little Italy-Hudson Square_33', 'SoHo-Little Italy-Hudson Square_34', 'SoHo-Little Italy-Hudson Square_35', 'Greenwich Village_39', 'Greenwich Village_40', 'Tribeca-Civic Center_2026', 'Chinatown-Two Bridges_2027', 'Chinatown-Two Bridges_2028', 'Chinatown-Two Bridges_2122', 'Chinatown-Two Bridges_2123']","['Gramercy_36', 'Midtown-Times Square_94', 'Midtown-Times Square_100', ""Hell's Kitchen_120"", 'Upper East Side-Yorkville_126', 'Downtown Brooklyn-DUMBO-Boerum Hill_564', 'Fort Greene_567', 'Madison_1012', 'East Village_2019', 'Chinatown-Two Bridges_2028']"
SoHo-Little Italy-Hudson Square_32,"['Lower East Side_7', 'Lower East Side_19', 'East Village_20', 'Tribeca-Civic Center_21', 'Tribeca-Civic Center_23', 'Lower East Side_25', 'East Village_26', 'SoHo-Little Italy-Hudson Square_31', 'SoHo-Little Italy-Hudson Square_33', 'SoHo-Little Italy-Hudson Square_34', 'SoHo-Little Italy-Hudson Square_35', 'Greenwich Village_39', 'Greenwich Village_40', 'Greenwich Village_43', 'Greenwich Village_46', 'East Village_2018', 'East Village_2019', 'Greenwich Village_2020', 'Chinatown-Two Bridges_2123']","['SoHo-Little Italy-Hudson Square_34', 'Midtown South-Flatiron-Union Square_37', 'Midtown-Times Square_76']"
SoHo-Little Italy-Hudson Square_33,"['Lower East Side_7', 'Tribeca-Civic Center_21', 'Tribeca-Civic Center_23', 'Lower East Side_25', 'East Village_26', 'SoHo-Little Italy-Hudson Square_27', 'SoHo-Little Italy-Hudson Square_31', 'SoHo-Little Italy-Hudson Square_32', 'SoHo-Little Italy-Hudson Square_34', 'SoHo-Little Italy-Hudson Square_35', 'Greenwich Village_39', 'Greenwich Village_40', 'Greenwich Village_46', 'Tribeca-Civic Center_2026', 'Chinatown-Two Bridges_2027', 'Chinatown-Two Bridges_2028', 'Chinatown-Two Bridges_2122', 'Chinatown-Two Bridges_2123']",[]
SoHo-Little Italy-Hudson Square_34,"['Tribeca-Civic Center_21', 'Tribeca-Civic Center_23', 'SoHo-Little Italy-Hudson Square_27', 'Tribeca-Civic Center_28', 'SoHo-Little Italy-Hudson Square_31', 'SoHo-Little Italy-Hudson Square_32', 'SoHo-Little Italy-Hudson Square_33', 'SoHo-Little Italy-Hudson Square_35', 'Greenwich Village_39', 'Greenwich Village_40', 'Greenwich Village_46', 'West Village_48', 'West Village_50', 'Tribeca-Civic Center_2026', 'Chinatown-Two Bridges_2028']","['SoHo-Little Italy-Hudson Square_32', 'SoHo-Little Italy-Hudson Square_35']"
SoHo-Little Italy-Hudson Square_35,"['Lower East Side_7', 'Tribeca-Civic Center_21', 'Tribeca-Civic Center_23', 'Lower East Side_25', 'East Village_26', 'SoHo-Little Italy-Hudson Square_27', 'Tribeca-Civic Center_28', 'SoHo-Little Italy-Hudson Square_31', 'SoHo-Little Italy-Hudson Square_32', 'SoHo-Little Italy-Hudson Square_33', 'SoHo-Little Italy-Hudson Square_34', 'Greenwich Village_39', 'Greenwich Village_40', 'Greenwich Village_43', 'Greenwich Village_46', 'West Village_48', 'West Village_50', 'West Village_53', 'West Village_55', 'Greenwich Village_2020', 'Tribeca-Civic Center_2026', 'Chinatown-Two Bridges_2028']","['SoHo-Little Italy-Hudson Square_34', 'Upper East Side-Carnegie Hill_115', 'Jackson Heights_1577']"
Gramercy_36,"['East Village_24', 'East Village_29', 'East Village_30', 'Midtown South-Flatiron-Union Square_37', 'Midtown South-Flatiron-Union Square_38', 'Midtown South-Flatiron-Union Square_41', 'Midtown South-Flatiron-Union Square_42', 'Greenwich Village_43', 'Greenwich Village_44', 'Greenwich Village_45', 'Murray Hill-Kips Bay_47', 'Gramercy_49', 'East Village_2018', 'East Village_2019', 'Greenwich Village_2020', 'Gramercy_2031', 'Stuyvesant Town-Peter Cooper Village_2032', 'Gramercy_2034']","['SoHo-Little Italy-Hudson Square_31', 'Midtown South-Flatiron-Union Square_42', 'Greenwich Village_46', 'Gramercy_49', 'Murray Hill-Kips Bay_52', 'Murray Hill-Kips Bay_54', 'Midtown South-Flatiron-Union Square_56', 'Murray Hill-Kips Bay_62', 'East Midtown-Turtle Bay_80', 'Midtown-Times Square_94', 'Midtown-Times Square_100', ""Hell's Kitchen_107"", 'Midtown-Times Square_116', 'Upper East Side-Yorkville_126', 'Downtown Brooklyn-DUMBO-Boerum Hill_558', 'Downtown Brooklyn-DUMBO-Boerum Hill_564', 'Fort Greene_567', 'Bay Ridge_596', 'Carroll Gardens-Cobble Hill-Gowanus-Red Hook_604', 'Park Slope_637', 'Crown Heights (North)_711', 'Bedford-Stuyvesant (West)_725', 'Bedford-Stuyvesant (West)_748', 'East Village_2018', 'Financial District-Battery Park City_2021', 'Financial District-Battery Park City_2025', 'Financial District-Battery Park City_2030', 'Park Slope_2209', 'Midtown-Times Square_2308']"
Midtown South-Flatiron-Union Square_37,"['East Village_30', 'Gramercy_36', 'Midtown South-Flatiron-Union Square_38', 'Midtown South-Flatiron-Union Square_41', 'Midtown South-Flatiron-Union Square_42', 'Greenwich Village_43', 'Greenwich Village_44', 'Greenwich Village_45', 'Murray Hill-Kips Bay_47', 'Gramercy_49', 'West Village_53', 'Chelsea-Hudson Yards_63', 'Chelsea-Hudson Yards_69', 'Chelsea-Hudson Yards_73', 'Midtown South-Flatiron-Union Square_77', 'East Village_2018', 'East Village_2019', 'Greenwich Village_2020', 'Gramercy_2031', 'Gramercy_2034']","['SoHo-Little Italy-Hudson Square_32', 'Midtown-Times Square_76', 'Midtown-Times Square_88']"
Midtown South-Flatiron-Union Square_38,"['Gramercy_36', 'Midtown South-Flatiron-Union Square_37', 'Midtown South-Flatiron-Union Square_41', 'Midtown South-Flatiron-Union Square_42', 'Greenwich Village_43', 'Greenwich Village_44', 'Greenwich Village_45', 'Gramercy_49', 'West Village_53', 'West Village_59', 'Chelsea-Hudson Yards_63', 'Chelsea-Hudson Yards_69', 'Chelsea-Hudson Yards_73', 'Midtown South-Flatiron-Union Square_77', 'East Village_2018', 'Greenwich Village_2020']",[]
Greenwich Village_39,"['Lower East Side_7', 'Lower East Side_25', 'East Village_26', 'SoHo-Little Italy-Hudson Square_27', 'SoHo-Little Italy-Hudson Square_31', 'SoHo-Little Italy-Hudson Square_32', 'SoHo-Little Italy-Hudson Square_33', 'SoHo-Little Italy-Hudson Square_34', 'SoHo-Little Italy-Hudson Square_35', 'Greenwich Village_40', 'Greenwich Village_43', 'Greenwich Village_44', 'Greenwich Village_45', 'Greenwich Village_46', 'West Village_48', 'West Village_53', 'East Village_2018', 'East Village_2019', 'Greenwich Village_2020']",[]
Greenwich Village_40,"['Lower East Side_7', 'Lower East Side_19', 'East Village_20', 'East Village_22', 'Lower East Side_25', 'East Village_26', 'East Village_29', 'East Village_30', 'SoHo-Little Italy-Hudson Square_31', 'SoHo-Little Italy-Hudson Square_32', 'SoHo-Little Italy-Hudson Square_33', 'SoHo-Little Italy-Hudson Square_34', 'SoHo-Little Italy-Hudson Square_35', 'Greenwich Village_39', 'Greenwich Village_43', 'Greenwich Village_44', 'Greenwich Village_45', 'Greenwich Village_46', 'East Village_2018', 'East Village_2019', 'Greenwich Village_2020']","['Lower East Side_19', 'Midtown-Times Square_94', 'Midtown-Times Square_100', 'Downtown Brooklyn-DUMBO-Boerum Hill_558', 'Fort Greene_567', 'Downtown Brooklyn-DUMBO-Boerum Hill_599', 'Park Slope_637', 'Williamsburg_993', 'Ridgewood_1731', 'Park Slope_2209']"
Midtown South-Flatiron-Union Square_41,"['Gramercy_36', 'Midtown South-Flatiron-Union Square_37', 'Midtown South-Flatiron-Union Square_38', 'Midtown South-Flatiron-Union Square_42', 'Murray Hill-Kips Bay_47', 'Gramercy_49', 'Murray Hill-Kips Bay_52', 'Murray Hill-Kips Bay_54', 'Midtown South-Flatiron-Union Square_56', 'Midtown South-Flatiron-Union Square_58', 'Chelsea-Hudson Yards_63', 'Chelsea-Hudson Yards_69', 'Chelsea-Hudson Yards_73', 'Midtown South-Flatiron-Union Square_77', 'Midtown South-Flatiron-Union Square_85', 'Gramercy_2031', 'Gramercy_2034']",['Tribeca-Civic Center_23']
Midtown South-Flatiron-Union Square_42,"['Gramercy_36', 'Midtown South-Flatiron-Union Square_37', 'Midtown South-Flatiron-Union Square_38', 'Midtown South-Flatiron-Union Square_41', 'Gramercy_49', 'Murray Hill-Kips Bay_54', 'Midtown South-Flatiron-Union Square_56', 'Midtown South-Flatiron-Union Square_58', 'Chelsea-Hudson Yards_63', 'Chelsea-Hudson Yards_69', 'Chelsea-Hudson Yards_73', 'Midtown South-Flatiron-Union Square_77', 'Midtown South-Flatiron-Union Square_85', 'Midtown-Times Square_94']","['Financial District-Battery Park City_4', 'Gramercy_36', 'Midtown South-Flatiron-Union Square_56', 'Murray Hill-Kips Bay_62', 'Midtown-Times Square_64', 'Chelsea-Hudson Yards_73', 'Midtown-Times Square_78', 'East Midtown-Turtle Bay_84', 'Midtown-Times Square_94', 'Midtown-Times Square_100', 'Upper East Side-Yorkville_126', 'Financial District-Battery Park City_2025', 'Financial District-Battery Park City_2029', 'Financial District-Battery Park City_2030', 'Midtown-Times Square_2308']"
